Protein Unique ID,Module Assignment (Number),Module Assigment (Color),kME Dark Orange,kME Dark Turquoise,kME Brown,kME Red,kME Turquoise,kME Light Green,kME White,kME Black,kME Green Yellow,kME Cyan,kME Salmon,kME Dark Red,kME Pink,kME Tan,kME Magenta,kME Light Cyan,kME Royal Blue,kME Midnight Blue,kME Purple,kME Light Yellow,kME Grey60,kME Blue,kME Yellow,kME Dark Green,kME Dark Grey,kME Green,kME Orange,kME Grey,kME Table Sort Vector
TOMM70A|NP_055635.3,M4,yellow,-0.071702973,-0.37475901,-0.764429016,-0.717666965,-0.876040193,-0.282242991,-0.111461911,-0.683896513,-0.512424277,-0.172635615,-0.085657888,0.63753465,0.629865773,0.336230844,0.627395594,0.374385168,0.431458547,0.648036186,0.359523496,0.715485692,0.595574352,0.799756673,0.966029687,-0.081632243,-0.186283197,-0.098999981,0.284627139,0.068874036,yellow|0.966
COX7A2L|NP_004709.2,M4,yellow,-0.184197648,-0.376222655,-0.778559367,-0.71155338,-0.862816229,-0.351099156,-0.104418156,-0.564244918,-0.36223883,-0.045846946,-0.013233007,0.603410486,0.588432443,0.411500525,0.639398964,0.390895166,0.448808935,0.784813531,0.496770379,0.636448741,0.671361989,0.763208617,0.957501815,0.055841888,-0.126241929,-0.183158814,0.324138183,0.039527741,yellow|0.9575
NDUFB11|NP_061929.2,M4,yellow,0.061212537,-0.289016072,-0.681631709,-0.560223014,-0.821626978,-0.343805557,-0.163368808,-0.65848553,-0.505666874,-0.194247613,0.05916995,0.525214263,0.613891317,0.353369405,0.493588816,0.347282921,0.329708319,0.620866201,0.327734904,0.676575847,0.565142097,0.815060842,0.951861619,-0.082063334,-0.124968881,-0.188226375,0.202267207,0.001285157,yellow|0.9519
HKDC1|NP_079406.3,M4,yellow,-0.286437015,-0.315466521,-0.728389213,-0.684730476,-0.79820483,-0.407434776,-0.190733251,-0.562275486,-0.396734433,-0.210896432,0.009699424,0.593881297,0.565115448,0.285304947,0.64496276,0.275704691,0.340022871,0.726846906,0.424575878,0.596383146,0.579808436,0.681105608,0.948920664,0.099303675,-0.18078096,-0.288021094,0.258405343,0.086360998,yellow|0.9489
SLC25A31|NP_112581.1,M4,yellow,-0.13621251,-0.323928808,-0.636864249,-0.655914425,-0.771633519,-0.338243713,-0.18157674,-0.574515854,-0.398763367,-0.198448017,-0.038686345,0.584670147,0.516714801,0.254404387,0.588331621,0.196896129,0.33772215,0.598665687,0.321910595,0.726935699,0.458703412,0.68078463,0.946491409,0.041269741,-0.149299534,-0.198076792,0.274942653,0.049691209,yellow|0.9465
SLC25A4|NP_001142.2,M4,yellow,-0.066831278,-0.276064747,-0.625054139,-0.638728928,-0.793302779,-0.342912563,-0.190168167,-0.605604268,-0.426577843,-0.171740171,-0.035999204,0.593115925,0.551856759,0.302564489,0.556920566,0.203675035,0.344646931,0.594083394,0.349848905,0.722751206,0.489894657,0.721759788,0.943904335,-0.001272364,-0.095792218,-0.168253761,0.249632112,0.037167373,yellow|0.9439
WDR37|NP_054742.2,M4,yellow,-0.097776288,-0.262893295,-0.710749781,-0.56627111,-0.869701764,-0.426265763,-0.216633916,-0.786868051,-0.55599095,-0.181006947,0.088449786,0.501623207,0.773240909,0.456992621,0.661829401,0.379922709,0.377662895,0.670200834,0.416137484,0.553947654,0.628226263,0.837169646,0.934129542,-0.063959789,-0.049533378,-0.271217105,0.212141667,0.007745691,yellow|0.9341
ATP5H|NP_006347.1,M4,yellow,-0.027427266,-0.300248391,-0.749262214,-0.570660322,-0.901913164,-0.449002198,-0.141186698,-0.689508545,-0.471933186,-0.043810744,0.112801947,0.486384784,0.749206837,0.566572914,0.599026132,0.466111009,0.422082297,0.732505161,0.494348678,0.579977134,0.729965676,0.870947398,0.927871223,-0.037353683,0.037154698,-0.202457213,0.225490795,-0.093312797,yellow|0.9279
HK2|NP_000180.2,M4,yellow,-0.202850215,-0.372679728,-0.7699718,-0.657594818,-0.838184995,-0.367134181,-0.176024015,-0.600522201,-0.364780707,-0.04440958,0.102689366,0.547345137,0.646947739,0.456327267,0.6409827,0.405068869,0.440767739,0.834137381,0.550730159,0.546791124,0.688185416,0.76783217,0.927585404,0.132403896,-0.065500863,-0.299005005,0.2297774,0.077524741,yellow|0.9276
ATP5J2|NP_001003713.1,M4,yellow,-0.099666954,-0.514983154,-0.635730622,-0.597764685,-0.936390461,-0.340607037,0.005648915,-0.662521808,-0.562287262,-0.087527472,0.037582466,0.462640048,0.53355552,0.37117107,0.509000661,0.453557636,0.387944585,0.615358541,0.4195861,0.843993779,0.666553999,0.854953247,0.919527786,0.011063633,-0.049904322,-0.037187361,0.461931364,-0.01517181,yellow|0.9195
